0,83.2137931,27.5,22.7862069,16.5,50,,,DMF,ald001,ptsa,am001,ic001
1,81.88965517,27.5,24.11034483,16.5,50,,,,,,,
2,80.56551724,27.5,25.43448276,16.5,50,,,,,,,
3,79.24137931,27.5,26.75862069,16.5,50,,,,,,,
4,77.91724138,27.5,28.08275862,16.5,50,,,,,,,
5,76.59310345,27.5,29.40689655,16.5,50,,,,,,,
6,75.26896552,27.5,30.73103448,16.5,50,,,,,,,
7,73.94482759,27.5,32.05517241,16.5,50,,,,,,,
8,72.62068966,27.5,33.37931034,16.5,50,,,,,,,
9,71.29655172,27.5,34.70344828,16.5,50,,,,,,,
10,69.97241379,27.5,36.02758621,16.5,50,,,,,,,
11,68.64827586,27.5,37.35172414,16.5,50,,,,,,,
12,67.32413793,27.5,38.67586207,16.5,50,,,,,,,
13,66,27.5,40,16.5,50,,,,,,,
14,59.2137931,42.5,22.7862069,25.5,50,,,,,,,
15,57.88965517,42.5,24.11034483,25.5,50,,,,,,,
16,56.56551724,42.5,25.43448276,25.5,50,,,,,,,
17,55.24137931,42.5,26.75862069,25.5,50,,,,,,,
18,53.91724138,42.5,28.08275862,25.5,50,,,,,,,
19,52.59310345,42.5,29.40689655,25.5,50,,,,,,,
20,51.26896552,42.5,30.73103448,25.5,50,,,,,,,
21,49.94482759,42.5,32.05517241,25.5,50,,,,,,,
22,48.62068966,42.5,33.37931034,25.5,50,,,,,,,
23,47.29655172,42.5,34.70344828,25.5,50,,,,,,,
24,45.97241379,42.5,36.02758621,25.5,50,,,,,,,
25,44.64827586,42.5,37.35172414,25.5,50,,,,,,,
26,43.32413793,42.5,38.67586207,25.5,50,,,,,,,
27,42,42.5,40,25.5,50,,,,,,,
28,63.7137931,42.5,22.7862069,21,50,,,,,,,
29,62.38965517,42.5,24.11034483,21,50,,,,,,,
30,61.06551724,42.5,25.43448276,21,50,,,,,,,
31,59.74137931,42.5,26.75862069,21,50,,,,,,,
32,58.41724138,42.5,28.08275862,21,50,,,,,,,
33,57.09310345,42.5,29.40689655,21,50,,,,,,,
34,55.76896552,42.5,30.73103448,21,50,,,,,,,
35,54.44482759,42.5,32.05517241,21,50,,,,,,,
36,53.12068966,42.5,33.37931034,21,50,,,,,,,
37,51.79655172,42.5,34.70344828,21,50,,,,,,,
38,50.47241379,42.5,36.02758621,21,50,,,,,,,
39,49.14827586,42.5,37.35172414,21,50,,,,,,,
40,47.82413793,42.5,38.67586207,21,50,,,,,,,
41,46.5,42.5,40,21,50,,,,,,,
42,78.7137931,27.5,22.7862069,21,50,,,,,,,
43,77.38965517,27.5,24.11034483,21,50,,,,,,,
44,76.06551724,27.5,25.43448276,21,50,,,,,,,
45,74.74137931,27.5,26.75862069,21,50,,,,,,,
46,73.41724138,27.5,28.08275862,21,50,,,,,,,
47,72.09310345,27.5,29.40689655,21,50,,,,,,,
48,70.76896552,27.5,30.73103448,21,50,,,,,,,
49,69.44482759,27.5,32.05517241,21,50,,,,,,,
50,68.12068966,27.5,33.37931034,21,50,,,,,,,
51,66.79655172,27.5,34.70344828,21,50,,,,,,,
52,65.47241379,27.5,36.02758621,21,50,,,,,,,
53,64.14827586,27.5,37.35172414,21,50,,,,,,,
54,62.82413793,27.5,38.67586207,21,50,,,,,,,
55,61.5,27.5,40,21,50,,,,,,,
56,66.7137931,35,22.7862069,25.5,50,,,,,,,
57,65.38965517,35,24.11034483,25.5,50,,,,,,,
58,64.06551724,35,25.43448276,25.5,50,,,,,,,
59,62.74137931,35,26.75862069,25.5,50,,,,,,,
60,61.41724138,35,28.08275862,25.5,50,,,,,,,
61,60.09310345,35,29.40689655,25.5,50,,,,,,,
62,58.76896552,35,30.73103448,25.5,50,,,,,,,
63,57.44482759,35,32.05517241,25.5,50,,,,,,,
64,56.12068966,35,33.37931034,25.5,50,,,,,,,
65,54.79655172,35,34.70344828,25.5,50,,,,,,,
66,53.47241379,35,36.02758621,25.5,50,,,,,,,
67,52.14827586,35,37.35172414,25.5,50,,,,,,,
68,50.82413793,35,38.67586207,25.5,50,,,,,,,
69,49.5,35,40,25.5,50,,,,,,,
70,75.7137931,35,22.7862069,16.5,50,,,,,,,
71,74.38965517,35,24.11034483,16.5,50,,,,,,,
72,73.06551724,35,25.43448276,16.5,50,,,,,,,
73,71.74137931,35,26.75862069,16.5,50,,,,,,,
74,70.41724138,35,28.08275862,16.5,50,,,,,,,
75,69.09310345,35,29.40689655,16.5,50,,,,,,,
76,67.76896552,35,30.73103448,16.5,50,,,,,,,
77,66.44482759,35,32.05517241,16.5,50,,,,,,,
78,65.12068966,35,33.37931034,16.5,50,,,,,,,
79,63.79655172,35,34.70344828,16.5,50,,,,,,,
80,62.47241379,35,36.02758621,16.5,50,,,,,,,
81,61.14827586,35,37.35172414,16.5,50,,,,,,,
82,59.82413793,35,38.67586207,16.5,50,,,,,,,
83,58.5,35,40,16.5,50,,,,,,,
84,93.7137931,20,22.7862069,21,42.5,,,,,,,
85,92.38965517,20,24.11034483,21,42.5,,,,,,,
86,91.06551724,20,25.43448276,21,42.5,,,,,,,
87,89.74137931,20,26.75862069,21,42.5,,,,,,,
88,88.41724138,20,28.08275862,21,42.5,,,,,,,
89,87.09310345,20,29.40689655,21,42.5,,,,,,,
90,85.76896552,20,30.73103448,21,42.5,,,,,,,
91,84.44482759,20,32.05517241,21,42.5,,,,,,,
92,83.12068966,20,33.37931034,21,42.5,,,,,,,
93,81.79655172,20,34.70344828,21,42.5,,,,,,,
94,80.47241379,20,36.02758621,21,42.5,,,,,,,
95,79.14827586,20,37.35172414,21,42.5,,,,,,,
96,77.82413793,20,38.67586207,21,42.5,,,,,,,
97,76.5,20,40,21,42.5,,,,,,,
98,80.91724138,27.5,28.08275862,21,42.5,,,,,,,
99,79.59310345,27.5,29.40689655,21,42.5,,,,,,,
100,78.26896552,27.5,30.73103448,21,42.5,,,,,,,
101,76.94482759,27.5,32.05517241,21,42.5,,,,,,,
102,75.62068966,27.5,33.37931034,21,42.5,,,,,,,
103,74.29655172,27.5,34.70344828,21,42.5,,,,,,,
104,72.97241379,27.5,36.02758621,21,42.5,,,,,,,
105,71.64827586,27.5,37.35172414,21,42.5,,,,,,,
106,70.32413793,27.5,38.67586207,21,42.5,,,,,,,
107,69,27.5,40,21,42.5,,,,,,,
